"SID","ID","JOB_DEF","FILIAL","COMMENT"
"t005135","b001084","HR","Lead","Handles VIP clients"
"t008509","b006650","HR","Backup","Front office replacement"
"t006647","b004516","Sales","Supervisor","Back office tasks"
"t006739","b002141","HR","TempSupervisor","Back office tasks"
"t005591","b001634","IT","FrontDesk","Front office replacement"
"t007699","b005296","Marketing","TempSupervisor","Front office replacement"
"t009100","b008478","Sales","Backup","Temporary assignment"
"t005281","b004631","Sales","FrontDesk","Temporary assignment"
"t006035","b006334","HR","Supervisor","Cross-trained staff"
"t009355","b004277","IT","FrontDesk","Back office tasks"
"t009736","b009332","Marketing","Supervisor","Handles VIP clients"
"t008832","b005219","Finance","FrontDesk","Cross-trained staff"
"t008718","b002244","Sales","Supervisor","Handles VIP clients"
"t007122","b003987","Finance","Supervisor","Cross-trained staff"
"t008398","b006317","Finance","TempSupervisor","Cross-trained staff"
"t007717","b005751","Support","Manager","Temporary assignment"
"t008215","b005975","Sales","Backup","Temporary assignment"
"t008238","b006663","HR","Supervisor","Temporary assignment"
"t006155","b005820","Support","Lead","Back office tasks"
"t006438","b008581","HR","FrontDesk","Back office tasks"
"t006279","b001933","Sales","Manager","Back office tasks"
"t005458","b009509","HR","TempSupervisor","Temporary assignment"
"t009837","b003250","Finance","FrontDesk","Front office replacement"
"t007644","b009939","HR","Manager","Cross-trained staff"
"t007178","b009760","Sales","FrontDesk","Back office tasks"
"t008467","b003053","Support","Manager","Temporary assignment"
"t007139","b005466","Finance","Manager","Cross-trained staff"
"t009677","b006269","Finance","Backup","Cross-trained staff"
"t006337","b005274","Sales","Lead","Cross-trained staff"
"t005418","b001190","Marketing","Supervisor","Handles VIP clients"
"t009958","b005363","HR","FrontDesk","Temporary assignment"
"t007681","b007568","Marketing","Backup","Front office replacement"
"t005820","b003728","Support","Manager","Cross-trained staff"
"t008053","b005997","Marketing","Backup","Front office replacement"
"t007684","b009161","Marketing","Lead","Back office tasks"
"t006018","b009334","Support","TempSupervisor","Back office tasks"
"t006684","b002527","IT","Manager","Handles VIP clients"
"t005189","b004798","Marketing","Lead","Temporary assignment"
"t005206","b005158","Marketing","Lead","Back office tasks"
"t008012","b009639","Support","TempSupervisor","Back office tasks"
"t005585","b009276","Marketing","TempSupervisor","Temporary assignment"
"t007297","b008139","IT","Supervisor","Front office replacement"
"t006125","b004901","Sales","Backup","Temporary assignment"
"t009955","b003292","Finance","FrontDesk","Front office replacement"
"t008301","b008959","Finance","Manager","Back office tasks"
"t005363","b008201","Sales","Supervisor","Handles VIP clients"
"t007965","b004225","Finance","Manager","Back office tasks"
"t008419","b001910","Support","Supervisor","Back office tasks"
"t005516","b005890","Marketing","Backup","Temporary assignment"
"t008477","b002329","Finance","TempSupervisor","Front office replacement"
"t008524","b005317","IT","Backup","Back office tasks"
"t005375","b009788","Marketing","Lead","Handles VIP clients"
"t006664","b005083","Sales","TempSupervisor","Temporary assignment"
"t008300","b003754","Sales","Supervisor","Back office tasks"
"t008609","b003787","HR","Lead","Temporary assignment"
"t009255","b001179","HR","Lead","Front office replacement"
"t007303","b007258","Finance","FrontDesk","Temporary assignment"
"t009092","b008766","IT","Backup","Back office tasks"
"t005837","b005575","Sales","TempSupervisor","Temporary assignment"
"t007207","b007689","Finance","TempSupervisor","Handles VIP clients"
